resetn,read_enb_0,read_enb_1,read_enb_2,pkt_valid,data_in,data_out_0,data_out_1,data_out_2,valid_out_0,valid_out_1,valid_out_2,error,busy
0,x,x,x,x,  x,  x,  x,  x,x,x,x,0,x
1,0,1,0,1, 20,  z, 49,  z,0,1,0,0,0
1,0,1,0,1,100,  z, 56,  z,0,1,0,0,0
1,0,1,0,1,181,  z,219,  z,0,1,0,0,0
1,0,1,0,1,170,  z,227,  z,0,1,0,0,0
1,0,1,0,1,157,  z, 20,  z,0,1,0,0,0
1,0,1,0,1,251,  z,100,  z,0,1,0,0,0
1,0,1,0,1,  1,  z,181,  z,0,1,0,0,0
1,0,1,0,1, 14,  z,170,  z,0,1,0,0,0
1,0,1,0,1, 58,  z,157,  z,0,1,0,0,0
1,0,1,0,1, 45,  z,251,  z,0,1,0,0,0
1,0,1,0,1, 94,  z,  1,  z,0,1,0,0,0
1,0,1,0,1,137,  z, 14,  z,0,1,0,0,0
1,0,1,0,1,219,  z, 58,  z,0,1,0,0,0
1,0,1,0,1,209,  z, 45,  z,0,1,0,0,0
1,0,1,0,1,131,  z, 94,  z,0,1,0,0,0
1,0,1,0,1,178,  z,137,  z,0,1,0,0,0
1,0,1,0,1,225,  z,219,  z,0,1,0,0,0
1,0,1,0,1, 52,  z,209,  z,0,1,0,0,0
1,0,1,0,1,252,  z,131,  z,0,1,0,0,0
1,0,1,0,1, 41,  z,178,  z,0,1,0,0,0
1,0,1,0,1,165,  z,225,  z,0,1,0,0,0
1,0,1,0,1,237,  z, 52,  z,0,1,0,0,0
1,0,1,0,1,205,  z,252,  z,0,1,0,0,0
1,0,1,0,1,111,  z, 41,  z,0,1,0,0,0
1,0,1,0,1,199,  z,165,  z,0,1,0,0,0
1,0,1,0,1, 14,  z,237,  z,0,1,0,0,0
1,0,1,0,1, 44,  z,205,  z,0,1,0,0,0
1,0,1,0,1,213,  z,111,  z,0,1,0,0,0
1,0,1,0,1,234,  z,199,  z,0,1,0,0,0
1,0,1,0,1, 52,  z, 14,  z,0,1,0,0,0
1,0,1,0,1,102,  z, 44,  z,0,1,0,0,0
1,0,1,0,1, 61,  z,213,  z,0,1,0,0,0
1,0,1,0,1, 71,  z,234,  z,0,1,0,0,0
1,0,1,0,1,252,  z, 52,  z,0,1,0,0,0
1,0,1,0,1,198,  z,102,  z,0,1,0,0,0
1,0,1,0,1,163,  z, 61,  z,0,1,0,0,0
1,0,1,0,1, 50,  z, 71,  z,0,1,0,0,0
